trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
488,False,"{'a': 0.6, 'e': 5.2278719064660256e-05}",25,11,25.040589125478895,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.6, 'e': 5.123314468336705e-05}",20,8,19.496251238664822,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.6, 'e': 5.0208481789699706e-05}",20,10,16.99023800838292,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.6, 'e': 4.9204312153905716e-05}",25,7,29.16406073351103,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.6, 'e': 4.82202259108276e-05}",20,0,21.754049134901432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
493,False,"{'a': 0.6, 'e': 4.725582139261105e-05}",20,14,12.406408502360222,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.6, 'e': 4.6310704964758826e-05}",25,13,20.905966984177184,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.6, 'e': 4.5384490865463644e-05}",20,4,28.93011821365074,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'a': 0.6, 'e': 4.4476801048154376e-05}",25,10,30.168221665962793,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.6, 'e': 4.358726502719128e-05}",25,20,10.20821838949156,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.6, 'e': 4.271551972664746e-05}",20,5,26.173075329844316,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,False,"{'a': 0.6, 'e': 4.1861209332114506e-05}",25,16,14.681320981319542,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.6, 'e': 4.1023985145472214e-05}",20,15,8.994089543110471,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
